review_id,user_name,content,rating,date,app_version,thumbs_up_count,sort_strategy,source
14209571598,Anonymous_User,Đang nghe yên ổn tự nhiên bắt nạp gói mới nghe đc ủa ko phải ứng dụng nghe nhạc à còn bắt ấy tiền đùa tôi chắc,2,2026-06-21T08:55:20-07:00,9.1.58,0,most_recent,AppStore
14209228374,Anonymous_User,Oke,5,2026-06-21T07:14:12-07:00,9.1.58,0,most_recent,AppStore
14208684401,Anonymous_User,"Không cần trộn bài, cảm ơn, đã nói fix thì fix hộ cái, khó chịu vô cùng",1,2026-06-21T04:13:06-07:00,9.1.58,0,most_recent,AppStore
14208643314,Anonymous_User,"Khá nhiều quảng cáo và những phiền phức của chế độ trộn bài thông minh, mình thấy nó không có ích gì hết tiện thể nó càng ngày càng nhiều quảng cáo và phiền phức hơn",1,2026-06-21T03:57:02-07:00,9.0.32,0,most_recent,AppStore
14208609892,Anonymous_User,Chết mẹ mày đi,1,2026-06-21T03:43:39-07:00,9.1.58,0,most_recent,AppStore
14208247408,Anonymous_User,Ossoxoxo,5,2026-06-21T01:11:35-07:00,9.1.58,0,most_recent,AppStore
14208166747,Anonymous_User,"Невозможно даже открыть первый трек и прослушать, для начала придется прослушать 2-5 реклам на полторы минуты! И так каждый раз когда включаешь след трек . Перемотать нельзя, переключат по порядку нельзя! В общем в бесплатной версии вы можете наслаждаться только одной рекламой!  Ужас духе приложения наверно не существует! Алчность вас погубит . Есть куда другие нормальных приложений для музыки",1,2026-06-21T00:36:38-07:00,9.1.58,0,most_recent,AppStore
14207700445,Anonymous_User,"Đây là app âm nhạc tuyệt vời nhất tôi từng nghe, âm thanh thì rõ nét, bài hát thì đa dạng các thể loại từ trong nước đến thế giới. Gợi ý bài hát rất hợp với tâm trạng 🥰😝",5,2026-06-20T21:10:07-07:00,9.1.58,0,most_recent,AppStore
14207607054,Anonymous_User,Không có nút thanh toán gói đã đăng ký,4,2026-06-20T20:30:38-07:00,9.1.58,0,most_recent,AppStore
14207452920,Anonymous_User,Tốt,4,2026-06-20T19:27:22-07:00,9.1.58,0,most_recent,AppStore
14207083456,Anonymous_User,Buggy. Laggy. With a bunch of updates we dont need. Youtube give me better music recommendations and it aint even a music app.,1,2026-06-20T16:59:28-07:00,9.1.58,0,most_recent,AppStore
14205646122,Anonymous_User,"Ý là máy không có làm sao hết mà app thì hay giật lag,tự thoát.Máy hoàn toàn không có vấn đề gì hết mà app thì cứ quay quay mãi thôi ấy!Khó chịu vãi",3,2026-06-20T08:28:43-07:00,9.1.58,0,most_recent,AppStore
14205397413,Anonymous_User,App có đủ các bài hát nhưng quá nhiều vấn đề nếu ko có premium,3,2026-06-20T07:16:17-07:00,9.1.58,0,most_recent,AppStore
14205389537,Anonymous_User,Dùng hơi nhiều quản cáo,4,2026-06-20T07:14:00-07:00,9.1.58,0,most_recent,AppStore
